Generation Number,Extracted Markdown
1,"===[START]===
| Image | Price | Description |
|---|---|---|
| A yellow tube with the label ""Loctite EA E-30CL"" | S$ 29.00 | Loctite Ea E-30CL Cr 50ML PN-29329 |
| A yellow tube with the label ""Loctite EA E-20HP"" | S$ 25.00 | Loctite EA E-20HP (50ml) |
| A gray tube with the label ""Loctite 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised"" | S$ 25.00 | Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised |
| A yellow tube with the label ""Loctite EA E-120HP"" | S$ 40.00 | Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite |
===[END]==="
2,"=== [START] ===

| Image | Price | Description |
|---|---|---|
| A yellow tube with the label ""Loctite EA E-30CL"" | S$ 29.00 | Loctite Ea E-30CL Cr 50ML PN-29329 |
| A yellow tube with the label ""Loctite EA E-20HP"" | S$ 25.00 | Loctite EA E-20HP (50ml) |
| A grey tube with the label ""Loctite Ea 9490 4oz Underwater Repair 2part Epoxy"" | S$ 25.00 | Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised |
| A yellow tube with the label ""Loctite EA E-120HP"" | S$ 40.00 | Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite |

=== [END] ==="
3,"===[START]===
| Image | Price | Description |
|---|---|---|
| A yellow tube with the label ""Loctite EA E-30CL"" | S$ 29.00 | Loctite Ea E-30CL Cr 50ML PN-29329 |
| A yellow tube with the label ""Loctite EA E-20HP"" | S$ 25.00 | Loctite EA E-20HP (50ml) |
| A silver tube with the label ""Loctite 9490"" | S$ 25.00 | Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised |
| A yellow tube with the label ""Loctite EA E-120HP"" | S$ 40.00 | Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite |
===[END]==="
4,"===[START]===

| Image | Price | Description |
|---|---|---|
| A yellow tube with the label ""Loctite EA E-30CL"" | S$ 29.00 | Loctite Ea E-30CL Cr 50ML PN-29329 |
| A yellow tube with the label ""Loctite EA E-20HP"" | S$ 25.00 | Loctite EA E-20HP (50ml) |
| A silver tube with the label ""Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised"" | S$ 25.00 | Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised |
| A yellow tube with the label ""Loctite EA E-120HP"" | S$ 40.00 | Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite |

=== [END] ==="
5,"=== [START] ===
| Image | Price | Description |
|---|---|---|
| A yellow tube with the label ""Loctite EA E-30CL"" | S$ 29.00 | Loctite Ea E-30CL Cr 50ML PN-29329 |
| A yellow tube with the label ""Loctite EA E-20HP"" | S$ 25.00 | Loctite EA E-20HP (50ml) |
| A gray tube with the label ""Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised"" | S$ 25.00 | Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised |
| A yellow tube with the label ""Loctite EA E-120HP"" | S$ 40.00 | Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite |
=== [END] ==="
6,"=== [START] ===

| Image | Price | Description |
|---|---|---|
| A yellow tube with the label ""Loctite EA E-30CL""  | S$ 29.00 | Loctite Ea E-30CL Cr 50ML PN-29329 |
| A yellow tube with the label ""Loctite EA E-20HP"" | S$ 25.00 | Loctite EA E-20HP (50ml) |
| A silver tube with the label ""Loctite 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised"" | S$ 25.00 | Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised |
| A yellow tube with the label ""Loctite EA E-120HP"" | S$ 40.00 | Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite |

=== [END] ==="
7,"===[START]===
| Image | Price | Description |
|---|---|---|
| A yellow tube with the label ""Loctite EA E-30CL"" | S$ 29.00 | Loctite Ea E-30CL Cr 50ML PN-29329 |
| A yellow tube with the label ""Loctite EA E-20HP"" | S$ 25.00 | Loctite EA E-20HP (50ml) |
| A grey tube with the label ""Loctite 9490"" | S$ 25.00 | Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised |
| A yellow tube with the label ""Loctite EA E-120HP"" | S$ 40.00 | Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite |
===[END]==="
8,"=== [START] ===
| Image | Price | Description |
|---|---|---|
| A yellow tube with the label ""Loctite EA E-30CL"" | S$ 29.00 | Loctite Ea E-30CL Cr 50ML PN-29329 |
| A yellow tube with the label ""Loctite EA E-20HP"" | S$ 25.00 | Loctite EA E-20HP (50ml) |
| A silver tube with the label ""Loctite 9490"" | S$ 25.00 | Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised |
| A yellow tube with the label ""Loctite EA E-120HP"" | S$ 40.00 | Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite |

=== [END] ==="
9,"===[START]===
| Image | Price | Description |
|---|---|---|
| A yellow tube with the label ""Loctite EA E-30CL""  | S$ 29.00 | Loctite Ea E-30CL Cr 50ML PN-29329 |
| A yellow tube with the label ""Loctite EA E-20HP""  | S$ 25.00 | Loctite EA E-20HP (50ml) |
| A silver tube with the label ""Loctite 9490""  | S$ 25.00 | Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised |
| A yellow tube with the label ""Loctite EA E-120HP""  | S$ 40.00 | Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite |
===[END]==="
10,"=== [START] ===

| Image | Price | Description |
|---|---|---|
| A yellow tube with the label ""Loctite EA E-30CL"" | S$ 29.00 | Loctite Ea E-30CL Cr 50ML PN-29329 |
| A yellow tube with the label ""Loctite EA E-20HP"" | S$ 25.00 | Loctite EA E-20HP (50ml) |
| A silver tube with the label ""Loctite 9490"" | S$ 25.00 | Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised |
| A yellow tube with the label ""Loctite EA E-120HP"" | S$ 40.00 | Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite |

=== [END] ==="
