Generation Number,Extracted Markdown
1,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A picture of a double-barreled tube of yellow sealant with a red label reading ""Loctite EA E-30CL"" |
| Loctite EA E-20HP (50ml) | S$ 25.00 | A picture of a double-barreled tube of yellow sealant with a red label reading ""Loctite EA E-20HP"" |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A picture of a silver tube with a red label reading ""Loctite Underwater Repair Epoxy"" |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A picture of a double-barreled tube of yellow sealant with a red label reading ""Loctite EA E-120HP"" |
===[END]==="
2,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 | Image of a yellow and black tube with the text ""Loctite EA E-20HP"" on it. |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | Image of a silver tube with the text ""Loctite Ea 9490 4oz Underwater Repair 2part Epoxy"" on it. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | Image of a yellow and black tube with the text ""Loctite EA E-120HP"" on it. |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | Image of a yellow and black tube with the text ""Loctite EA E-30CL"" on it. |
===[END]==="
3,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A tube of Loctite Ea E-30CL adhesive. The tube is yellow and red. |
| Loctite EA E-20HP (50ml) | S$ 25.00 |  A tube of Loctite EA E-20HP adhesive. The tube is yellow and black. |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A tube of Loctite Ea 9490 underwater repair epoxy. The tube is silver and red. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A tube of Loctite Ea E 120HP epoxy adhesive. The tube is yellow and black. |
===[END]==="
4,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow tube with a red cap that says Loctite EA E-30CL.  The tube is labeled Henkel.  | 
| Loctite EA E-20HP (50ml) | S$ 25.00 | A yellow tube with a red cap that says Loctite EA E-20HP.  The tube is labeled Henkel.  | 
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver tube with a red cap that says Loctite.  The tube is labeled Loctite Authorized Distributor. | 
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow tube with a red cap that says Loctite EA E-120HP.  The tube is labeled Henkel Authorized Distributor. |
===[END]===
"
5,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 |  A yellow and red tube with Loctite EA E-30CL printed on it and the Henkel logo |
| Loctite EA E-20HP (50ml) | S$ 25.00 | A yellow and red tube with Loctite EA E-20HP printed on it | 
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver tube with Loctite 9490 printed on it |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow and red tube with Loctite EA E-120HP printed on it and the Henkel logo |
===[END]==="
6,"===[START]===  
| Product Name | Price | Description | 
|---|---|---|  
| Loctite EA E-20HP (50ml) | S$ 25.00 | Two-part epoxy adhesive in a yellow tube with a white label. The label says ""LOCTITE EA E-20HP"". |  
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A gray tube with a white label, that says ""Loctite Underwater Repair 2part Epoxy"". |  
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | Two-part epoxy adhesive in a yellow tube with a white label. The label says ""LOCTITE EA E-120HP"". |  
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | Two-part epoxy adhesive in a yellow tube with a white label. The label says ""LOCTITE EA E-30CL"". |  
===[END]===  
"
7,"===[START]===
| Product Name | Price | Description | 
|---|---|---|  
| Loctite EA E-20HP (50ml) | S$ 25.00 | The product is a tube of Loctite EA E-20HP adhesive, yellow and black in color. It has a  ""MOQ: 10"" label.  |  
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 |  The product is a tube of Loctite Ea 9490 4oz Underwater Repair 2part Epoxy adhesive, gray and red in color. It has a ""Loctite Authorized Distributor"" label. |  
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | The product is a tube of Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige adhesive, yellow and black in color. It has a ""Henkel Authorized Distributor"" label.  |  
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | The product is a tube of Loctite Ea E-30CL Cr adhesive, yellow and black in color.  |  
===[END]===
"
8,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow and red tube of epoxy with the label ""Loctite EA E-30CL"". |
| Loctite EA E-20HP (50ml) | S$ 25.00 | A yellow and red tube of epoxy with the label ""Loctite EA E-20HP"". |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver and red tube with the label ""Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised"". |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow and red tube of epoxy with the label ""Loctite EA E-120HP"". |
===[END]==="
9,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 | A two-part epoxy adhesive in a yellow cartridge. |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A grey and red tube of underwater repair epoxy. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A two-part epoxy adhesive in a yellow cartridge. |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A two-part epoxy adhesive in a yellow cartridge. |
===[END]==="
10,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 |  A two-pack, yellow tube with black lettering is shown with a Henkel logo |
| Loctite EA E-20HP (50ml) | S$ 25.00 | A two-pack, yellow tube with black lettering is shown.  |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A gray tube is shown with the words ""Underwater Repair"" and ""Epoxy"" |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A two-pack, yellow tube with black lettering is shown with a Henkel logo |
===[END]===
"
11,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 |  Two yellow tubes, labeled ""Loctite EA E-30CL"" with a Henkel logo, are  packaged together in a clear plastic bag. |
| Loctite EA E-20HP (50ml) | S$ 25.00 |  Two yellow tubes, labeled ""Loctite EA E-20HP"", are packaged together in a clear plastic bag. |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 |  An image of a silver tube with red, white, and black labeling is shown. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 |  Two yellow tubes, labeled ""Loctite EA E-120HP"" with a Henkel logo, are packaged together in a clear plastic bag. |
===[END]===
"
12,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 |  |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver and red tube, labeled Loctite and Henkel.  |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 |  |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow and red package, labeled Loctite and Henkel, containing two tubes of glue.  |
===[END]==="
13,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow tube of Loctite EA E-30CL adhesive with a Henkel logo on the tube.  |
| Loctite EA E-20HP (50ml) | S$ 25.00 | A yellow tube of Loctite EA E-20HP adhesive with a Henkel logo on the tube.  |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A gray and red tube of Loctite Ea 9490 4oz Underwater Repair 2part Epoxy with a Loctite Authorised Distributor logo on the tube.  |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow tube of Loctite Ea E 120HP Epoxy Adhesive Cartridge with a Henkel logo on the tube.  |
===[END]==="
